BMPA Reference Number,KEYS,Company," Class, Design, Style",Date,Number,Name,Location,Train Working,"Other information
- Record any other relevant details about the image here",Photographer,Photographer's / Publishers Reference,BMPA Store Reference (if known),Identified by ,BMPA Reference Number
142723,MR,BR (MR),9F,26/5/1967,92019,,Near Ais-Gill,Stone Freight Working (Long Meg - Widnes anhydrite),On the Settle & Carlisle line,John Scrace,Neg L207,JS BR Steam Locos G-L,GLW,142723
142724,LO & ST,BR (SR),9F & 2MT & BB,12/8/1960,92052 & 41292 & 34086,""""" & 19 Squadron & """"",Clapham Junction,,"9F on 18-coach empty train from Oakley Junction (Beds.), for Lewes",John Scrace,Neg L208,JS BR Steam Locos G-L,GLW,142724
142725,LO & ST,BR (SR),9F,12/8/1960,92052,,Clapham Junction,,"9F on 18-coach empty train from Oakley Junction (Beds.), for Lewes",John Scrace,Neg L209,JS BR Steam Locos G-L,GLW,142725
142726,MR,BR (MR),9F,14/9/1967,92062,,Ribblehead Viaduct,,Panoramic view on the Settle & Carlisle line,John Scrace,Neg L210,JS BR Steam Locos G-L,GLW,142726
142727,MR,BR (MR),9F,26/5/1967,92071,,Ais Gill,,Empty stone train freight working on the Settle & Carlisle line,John Scrace,Neg L211,JS BR Steam Locos G-L,GLW,142727
142728,MR,BR (MR),9F,26/5/1967,92093,,Ais Gill,Long Meg - Widnes anhydrite,On the Settle & Carlisle line,John Scrace,Neg L212,JS BR Steam Locos G-L,GLW,142728
142729,MR,BR (MR),9F,26/5/1967,92093,,Ais Gill,Long Meg - Widnes anhydrite,On the Settle & Carlisle line,John Scrace,Neg L213,JS BR Steam Locos G-L,GLW,142729
142730,MR,BR (MR),9F,26/5/1967,92112,,Ais Gill,Down Freight,"Loco number painted on the smokebox door. On the Settle & Carlisle line. Passing the Ais Gill summit sign ""1169 feet above sea level""",John Scrace,Neg L214,JS BR Steam Locos G-L,GLW,142730
142731,MP,BR (SR),9F,27/8/1963,92137,,Eastleigh Shed,,,John Scrace,Neg L215,JS BR Steam Locos G-L,GLW,142731
142732,MP,BR (SR),9F,2/5/1962,92138,,Eastleigh Shed,,,John Scrace,Neg L216,JS BR Steam Locos G-L,GLW,142732
142733,MP,BR (SR),9F,2/5/1962,92206,,Eastleigh Shed,,,John Scrace,Neg L217,JS BR Steam Locos G-L,GLW,142733
142734,LO & ST,BR (SR),9F,20/9/1964,92220,Evening Star,Wimbledon,"SCTS ""Farewell to Steam"" Railtour",,John Scrace,Neg L218,JS BR Steam Locos G-L,GLW,142734
142735,MP,BR (SR),9F,25/7/1963,92231,,Eastleigh Shed,,,John Scrace,Neg L219,JS BR Steam Locos G-L,GLW,142735
